iter	Passed	Remaining
0	60	7177
1	70	4170
2	80	3150
3	89	2595
4	95	2192
5	100	1908
6	105	1696
7	108	1521
8	111	1380
9	115	1267
10	118	1174
11	122	1106
12	126	1042
13	129	983
14	133	931
15	136	889
16	140	852
17	144	820
18	148	787
19	151	758
20	155	733
21	158	707
22	162	684
23	165	661
24	168	641
25	172	622
26	175	605
27	179	588
28	182	571
29	185	557
30	189	544
31	193	531
32	196	517
33	199	505
34	203	494
35	207	483
36	210	472
37	213	461
38	217	451
39	221	442
40	224	432
41	228	423
42	231	414
43	236	407
44	240	400
45	243	392
46	247	384
47	252	378
48	255	370
49	259	362
50	262	355
51	266	348
52	270	341
53	274	335
54	277	328
55	281	321
56	285	315
57	289	308
58	292	302
59	295	295
60	300	290
61	305	285
62	308	279
63	312	273
64	315	267
65	320	262
66	324	256
67	328	251
68	333	246
69	337	241
70	342	236
71	345	230
72	349	225
73	353	219
74	356	214
75	360	208
76	364	203
77	368	198
78	371	192
79	374	187
80	378	182
81	382	177
82	386	172
83	389	166
84	393	161
85	397	157
86	401	152
87	404	147
88	408	142
89	411	137
90	415	132
91	419	127
92	422	122
93	426	117
94	431	113
95	435	108
96	438	104
97	442	99
98	446	94
99	450	90
100	454	85
101	457	80
102	461	76
103	465	71
104	469	67
105	472	62
106	477	57
107	481	53
108	484	48
109	488	44
110	491	39
111	495	35
112	500	30
113	504	26
114	507	22
115	512	17
116	516	13
117	519	8
118	522	4
119	526	0
